,;utc_timestamp;price
0,0;94969;33.68
1,1;94970;33.31
2,2;94971;32.52
3,3;94972;32.99
4,4;94973;33.31
5,5;94974;36.98
6,6;94975;41.93
7,7;94976;41.09
8,8;94977;33.77
9,9;94978;31.27
10,10;94979;30. Sep
11,11;94980;30.75
12,12;94981;30. Mrz
13,13;94982;31.58
14,14;94983;33.28
15,15;94984;39.34
16,16;94985;47.51
17,17;94986;49.99
18,18;94987;45.97
19,19;94988;35.94
20,20;94989;29.59
21,21;94990;28.86
22,22;94991;16. Feb
23,23;94992;27. Nov
24,24;94993;15. Dez
25,25;94994;13. Feb
26,26;94995;Dez 26
27,27;94996;13.16
28,28;94997;21. Jan
29,29;94998;33.85
30,30;94999;39.04
31,31;95000;36.54
32,32;95001;36.72
33,33;95002;33.19
34,34;95003;34.07
35,35;95004;32.93
36,36;95005;33.18
37,37;95006;33.06
38,38;95007;33.99
39,39;95008;39.16
40,40;95009;52.91
41,41;95010;52.46
42,42;95011;51.46
43,43;95012;39.98
44,44;95013;37.52
45,45;95014;35.18
46,46;95015;35.67
47,47;95016;35.05
48,48;95017;35.07
49,49;95018;34.74
50,50;95019;35.87
51,51;95020;36.74
52,52;95021;38.95
53,53;95022;47.23
54,54;95023;53.41
55,55;95024;56.06
56,56;95025;50.11
57,57;95026;46.86
58,58;95027;47.63
59,59;95028;48.0
60,60;95029;48.95
61,61;95030;48.96
62,62;95031;59.6
63,63;95032;56.35
64,64;95033;59.99
65,65;95034;56.03
66,66;95035;48.88
67,67;95036;42.41
68,68;95037;37.27
69,69;95038;36.24
70,70;95039;33.98
71,71;95040;32.4
72,72;95041;32.42
73,73;95042;30.96
74,74;95043;30. Aug
75,75;95044;31.98
76,76;95045;34.13
77,77;95046;36.98
78,78;95047;46.78
79,79;95048;48.69
80,80;95049;47.94
81,81;95050;40.86
82,82;95051;42.83
83,83;95052;38.05
84,84;95053;40.49
85,85;95054;43.15
86,86;95055;49.91
87,87;95056;48.73
88,88;95057;52.19
89,89;95058;49.6
90,90;95059;40.15
91,91;95060;39.23
92,92;95061;38.31
93,93;95062;37.02
94,94;95063;34.9
95,95;95064;37.05
96,96;95065;37.07
97,97;95066;36.77
98,98;95067;35.97
99,99;95068;35.54
100,100;95069;35.93
101,101;95070;36.5
102,102;95071;37.02
103,103;95072;38.96
104,104;95073;39.89
105,105;95074;41.16
106,106;95075;44.79
107,107;95076;46.54
108,108;95077;40.8
109,109;95078;39.35
110,110;95079;38.88
111,111;95080;42.65
112,112;95081;48.1
113,113;95082;44.78
114,114;95083;40.91
115,115;95084;37.07
116,116;95085;34.32
117,117;95086;32.71
118,118;95087;29.94
119,119;95088;32.23
120,120;95089;27.78
121,121;95090;27.95
122,122;95091;25. Mrz
123,123;95092;30. Jan
124,124;95093;29.82
125,125;95094;30.89
126,126;95095;30.88
127,127;95096;33.81
128,128;95097;37.02
129,129;95098;37.93
130,130;95099;41.58
131,131;95100;38.94
132,132;95101;37.07
133,133;95102;37.09
134,134;95103;37.0
135,135;95104;39.5
136,136;95105;48.51
137,137;95106;47.96
138,138;95107;43.27
139,139;95108;37.05
140,140;95109;36.0
141,141;95110;33.33
142,142;95111;30.23
143,143;95112;Okt 72
144,144;95113;13.61
145,145;95114;13.69
146,146;95115;12. Jun
147,147;95116;Nov 94
148,148;95117;15.82
149,149;95118;33.02
150,150;95119;40.81
151,151;95120;38.01
152,152;95121;38.07
153,153;95122;39.93
154,154;95123;39.98
155,155;95124;41.76
156,156;95125;42.67
157,157;95126;46.9
158,158;95127;53.03
159,159;95128;58.45
160,160;95129;69.83
161,161;95130;65.94
162,162;95131;59.93
163,163;95132;49.99
164,164;95133;37.85
165,165;95134;39.7
166,166;95135;38.05
167,167;95136;37.47
168,168;95137;36.65
169,169;95138;36.09
170,170;95139;36.17
171,171;95140;37.13
172,172;95141;37.17
173,173;95142;46.77
174,174;95143;61.65
175,175;95144;64.64
176,176;95145;63.89
177,177;95146;58.97
178,178;95147;58.99
179,179;95148;58.47
180,180;95149;58.94
181,181;95150;62.13
182,182;95151;67.91
183,183;95152;84.92
184,184;95153;104.96
185,185;95154;70.03
186,186;95155;56.43
187,187;95156;44.15
188,188;95157;42.45
189,189;95158;40.0
190,190;95159;35.98
191,191;95160;35.6
192,192;95161;33.38
193,193;95162;31.46
194,194;95163;31.48
195,195;95164;34.23
196,196;95165;35.77
197,197;95166;39.77
198,198;95167;55.2
199,199;95168;55.2
200,200;95169;54.96
201,201;95170;49.72
202,202;95171;56.92
203,203;95172;55.82
204,204;95173;55.58
205,205;95174;54.28
206,206;95175;55.08
207,207;95176;62.21
208,208;95177;78.44
209,209;95178;60.93
210,210;95179;58.5
211,211;95180;48.22
212,212;95181;40.85
213,213;95182;39.5
214,214;95183;36.1
215,215;95184;33.53
216,216;95185;32.95
217,217;95186;31.69
218,218;95187;33.2
219,219;95188;33.53
220,220;95189;35.0
221,221;95190;41.48
222,222;95191;50.37
223,223;95192;58.91
224,224;95193;59.98
225,225;95194;58.52
226,226;95195;59.93
227,227;95196;61.1
228,228;95197;65.01
229,229;95198;63.24
230,230;95199;65.08
231,231;95200;63.08
232,232;95201;98.15
233,233;95202;67.87
234,234;95203;60.24
235,235;95204;50.39
236,236;95205;41.96
237,237;95206;39.72
238,238;95207;37.76
239,239;95208;37.07
240,240;95209;36.22
241,241;95210;34.9
242,242;95211;34.46
243,243;95212;36.46
244,244;95213;35.45
245,245;95214;37.6
246,246;95215;48.46
247,247;95216;54.97
248,248;95217;54.92
249,249;95218;55.9
250,250;95219;55.93
251,251;95220;54.93
252,252;95221;54.42
253,253;95222;51.7
254,254;95223;51.71
255,255;95224;57.91
256,256;95225;64.92
257,257;95226;56.94
258,258;95227;56.25
259,259;95228;45.79
260,260;95229;42.09
261,261;95230;43.48
262,262;95231;41.27
263,263;95232;40.21
264,264;95233;38.31
265,265;95234;36.78
266,266;95235;36.09
267,267;95236;36.05
268,268;95237;36.09
269,269;95238;36.33
270,270;95239;38.38
271,271;95240;42.21
272,272;95241;45.77
273,273;95242;46.52
274,274;95243;43.34
275,275;95244;39.94
276,276;95245;40.86
277,277;95246;36.09
278,278;95247;38.06
279,279;95248;45.9
280,280;95249;51.17
281,281;95250;48.32
282,282;95251;39.15
283,283;95252;36.1
284,284;95253;34.77
285,285;95254;34.99
286,286;95255;34.34
287,287;95256;32.99
288,288;95257;34.15
289,289;95258;32.95
290,290;95259;31.76
291,291;95260;31.46
292,292;95261;31.43
293,293;95262;31.63
294,294;95263;31.46
295,295;95264;35.07
296,296;95265;36.02
297,297;95266;35.57
298,298;95267;36.37
299,299;95268;36.1
300,300;95269;36.05
301,301;95270;36.28
302,302;95271;39.37
303,303;95272;44.74
304,304;95273;48.82
305,305;95274;48.29
306,306;95275;46.07
307,307;95276;40.9
308,308;95277;38.06
309,309;95278;37.44
310,310;95279;35.91
311,311;95280;32.56
312,312;95281;31.61
313,313;95282;31.79
314,314;95283;31.68
315,315;95284;31.68
316,316;95285;32.69
317,317;95286;43.92
318,318;95287;54.92
319,319;95288;51.19
320,320;95289;38.49
321,321;95290;37.07
322,322;95291;36.94
323,323;95292;39.51
324,324;95293;37.84
325,325;95294;42.03
326,326;95295;51.19
327,327;95296;49.95
328,328;95297;56.09
329,329;95298;46.98
330,330;95299;38.58
331,331;95300;40.07
332,332;95301;35.36
333,333;95302;32.67
334,334;95303;31.72
335,335;95304;30. Aug
336,336;95305;30.18
337,337;95306;27.68
338,338;95307;26.58
339,339;95308;30. Jul
340,340;95309;31.67
341,341;95310;36.6
342,342;95311;44.65
343,343;95312;43.94
344,344;95313;43.96
345,345;95314;43.96
346,346;95315;44.65
347,347;95316;43.08
348,348;95317;43.58
349,349;95318;43.97
350,350;95319;44.01
351,351;95320;44.97
352,352;95321;51.98
353,353;95322;48.02
354,354;95323;52.91
355,355;95324;44.74
356,356;95325;38.22
357,357;95326;38.42
358,358;95327;35.4
359,359;95328;35.55
360,360;95329;34.14
361,361;95330;33.4
362,362;95331;33.45
363,363;95332;33.05
364,364;95333;38.59
365,365;95334;46.99
366,366;95335;51.92
367,367;95336;55.96
368,368;95337;57.81
369,369;95338;56.36
370,370;95339;53.96
371,371;95340;46.9
372,372;95341;45.36
373,373;95342;40.94
374,374;95343;40.11
375,375;95344;40.83
376,376;95345;48.91
377,377;95346;46.95
378,378;95347;46.95
379,379;95348;40.58
380,380;95349;36.12
381,381;95350;36.13
382,382;95351;31.73
383,383;95352;27. Jan
384,384;95353;26.44
