dot,density,n_cols,n_rows,format
0.078292,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.000997,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,1.0,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
0.0,0.1,10,10,full
